courseId,courseName,courseNameEN,description,descriptionEN,level,category,pointsReward,xpReward,requiredLevel,imageURL,duration,contentPath
C001,DJI Pocket 3 基礎操作,DJI Pocket 3 Basic Operation,學習DJI Pocket 3的基本功能和操作技巧,Learn basic functions and operation skills of DJI Pocket 3,1,Camera,50,100,0,dji_pocket_3_basic.jpg,120,assets/database/learn/DJI Pocket 3.md
C002,Canon R7 基礎視頻拍攝,Canon R7 Basic Video Shooting,掌握Canon R7的基礎視頻拍攝設置和技巧,Master the basic video shooting settings and techniques of Canon R7,1,Camera,100,500,0,canon_r7_basic.jpg,180,assets/database/learn/Canon EOS R7.md
C003,Canon R6 基礎視頻拍攝,Canon R6 Basic Video Shooting,學習Canon R6的操作和基礎視頻拍攝技巧,Learn Canon R6 operation and basic video shooting techniques,1,Camera,100,500,0,canon_r6_basic.jpg,180,assets/database/learn/Canon EOS R6.md
C004,DJI Pocket 3 進階創作,DJI Pocket 3 Advanced Creation,學習使用DJI Pocket 3進行進階創作和剪輯,Learn advanced creation and editing with DJI Pocket 3,2,Camera,150,200,1,dji_pocket_3_advanced.jpg,240,assets/database/learn/DJI Pocket 3.md
C005,DJI 無人機飛行與空中攝影,DJI Drone Piloting & Aerial Video,學習DJI無人機的安全飛行和空中攝影技巧,Learn safe piloting and aerial photography techniques with DJI drones,3,Drone,200,300,2,dji_drone.jpg,300,assets/database/learn/DJI Air2S.md
C006,專業音頻錄製,Professional Audio Recording,學習專業音頻設備的使用和錄音技巧,Learn professional audio equipment usage and recording techniques,2,Audio,120,200,1,audio_recording.jpg,210,assets/database/learn/DJI MIC2.md
C007,Canon RF 鏡頭精通,Canon RF Lens Mastery,深入了解Canon RF鏡頭系列及其創作應用,In-depth understanding of Canon RF lens series and creative applications,2,Lens,150,250,1,canon_rf_lens.jpg,240,
C008,視頻後期處理基礎,Video Post-processing Basics,學習視頻素材的基礎後期處理技巧,Learn basic post-processing techniques for video materials,1,Software,80,100,0,video_processing.jpg,180,
C009,Final Cut Pro X 專業剪輯,Final Cut Pro X Professional Editing,掌握使用Final Cut Pro X進行專業視頻剪輯,Master professional video editing with Final Cut Pro X,3,Software,180,350,2,fcpx.jpg,270,
C010,攝影燈光布置,Photography Lighting Setup,學習在不同場景下的攝影燈光布置,Learn photography lighting setup in different scenarios,2,Lighting,100,150,1,lighting_setup.jpg,150,
C011,Blackmagic ATEM Mini ISO 入門,Blackmagic ATEM Mini ISO Basics,學習 Blackmagic ATEM Mini ISO 的基礎操作和直播流程,Learn basic operations and live streaming workflow of Blackmagic ATEM Mini ISO,2,Video,120,200,1,blackmagic_atem.jpg,180,assets/database/learn/Blackmagic ATEM Mini ISO.md
C012,Canon EOS R5 深度解析,Canon EOS R5 In-depth,全面了解 Canon EOS R5 的高級功能和拍攝技巧,Comprehensive understanding of Canon EOS R5 advanced features and shooting techniques,3,Camera,200,400,2,canon_eos_r5.jpg,300,assets/database/learn/Canon EOS R5.md
C013,DJI MIC 通用指南,DJI MIC General Guide,DJI MIC 無線麥克風系統的設置與應用,Setup and application of DJI MIC wireless microphone system,1,Audio,80,100,0,dji_mic.jpg,120,assets/database/learn/DJI MIC.md
C014,DJI RS3 Pro 穩定器技巧,DJI RS3 Pro Stabilizer Techniques,掌握 DJI RS3 Pro 穩定器的調平和拍攝技巧,Mastering DJI RS3 Pro stabilizer balancing and shooting techniques,2,Stabilizer,150,250,1,dji_rs3_pro.jpg,200,assets/database/learn/DJI RS3 Pro.md
C015,Hollyland Solidcom C1 Pro 通訊,Hollyland Solidcom C1 Pro Comms,學習 Hollyland Solidcom C1 Pro 無線通話系統的使用,Learning to use Hollyland Solidcom C1 Pro wireless intercom system,2,Communication,100,150,1,hollyland_solidcom.jpg,150,assets/database/learn/Hollyland Solidcom C1 Pro.md
C016,DJI Pocket 系列相機入門,DJI Pocket Series Camera Basics,DJI Pocket 系列運動相機的基礎操作,Basic operations for DJI Pocket series action cameras,1,Camera,60,80,0,dji_pocket_series.jpg,100,assets/database/learn/DJI Pocket.md
C017,Insta360 One R 全景相機,Insta360 One R Panoramic Camera,探索 Insta360 One R 全景相機的拍攝與編輯,Exploring shooting and editing with Insta360 One R panoramic camera,2,Camera,130,220,1,insta360_oner.jpg,190,assets/database/learn/insta360 OneR.md